Fecha,F019.PPB.PRE.44.D,F014.PPW.PRE.N.7.ECD.US.USD.BARR.BLO.Z.0.D,F013.TLP.TIN.N.7.ECD.US.CUS.BLO.D,F073.UFF.PRE.Z.D
01-01-2000,nan,nan,nan,"15067,93"
02-01-2000,nan,nan,nan,"15068,9"
03-01-2000,nan,nan,"6,5920000000000005","15069,87"
04-01-2000,nan,"25,55","6,497000000000001","15070,84"
05-01-2000,nan,"24,91","6,593999999999999","15071,82"
06-01-2000,nan,"24,78","6,524","15072,79"
07-01-2000,nan,"24,22","6,515","15073,76"
08-01-2000,nan,nan,nan,"15074,73"
09-01-2000,nan,nan,nan,"15075,7"
10-01-2000,nan,"24,67","6,5520000000000005","15077,16"
11-01-2000,nan,"25,77","6,657","15078,61"
12-01-2000,nan,"26,28","6,702999999999999","15080,07"
13-01-2000,nan,"26,69","6,63","15081,53"
14-01-2000,nan,"28,02","6,678999999999999","15082,99"
15-01-2000,nan,nan,nan,"15084,44"
16-01-2000,nan,nan,nan,"15085,9"
17-01-2000,nan,nan,"6,681","15087,36"
18-01-2000,nan,"28,85","6,747999999999999","15088,82"
19-01-2000,nan,"29,54","6,732","15090,27"
20-01-2000,nan,"29,66","6,787999999999999","15091,73"
21-01-2000,nan,"29,8","6,765","15093,19"
22-01-2000,nan,nan,nan,"15094,65"
23-01-2000,nan,nan,nan,"15096,11"
24-01-2000,nan,"29,42","6,685","15097,57"
25-01-2000,nan,"29,86","6,692","15099,03"
26-01-2000,nan,"27,84","6,664","15100,49"
27-01-2000,nan,"27,32","6,692","15101,94"
28-01-2000,nan,"27,22","6,6579999999999995","15103,4"
29-01-2000,nan,nan,nan,"15104,86"
30-01-2000,nan,nan,nan,"15106,32"
31-01-2000,nan,"27,64","6,665","15107,78"
01-02-2000,nan,"28,22","6,619","15109,24"
02-02-2000,nan,"27,56","6,5729999999999995","15110,7"
03-02-2000,nan,"28,03","6,489","15112,16"
04-02-2000,nan,"28,82","6,5489999999999995","15113,62"
05-02-2000,nan,nan,nan,"15115,08"
06-02-2000,nan,nan,nan,"15116,54"
07-02-2000,nan,"28,45","6,638999999999999","15118,01"
08-02-2000,nan,"28,02","6,6129999999999995","15119,47"
09-02-2000,nan,"28,77","6,66","15120,93"
10-02-2000,nan,"29,44","6,671","15121,97"
11-02-2000,nan,"29,44","6,604","15123,01"
12-02-2000,nan,nan,nan,"15124,06"
13-02-2000,nan,nan,nan,"15125,1"
14-02-2000,nan,"30,25","6,553999999999999","15126,14"
15-02-2000,nan,"30,06","6,5520000000000005","15127,18"
16-02-2000,nan,"30,05","6,545","15128,22"
17-02-2000,nan,"29,46","6,567","15129,27"
18-02-2000,nan,"29,51","6,489","15130,31"
19-02-2000,nan,nan,nan,"15131,35"
20-02-2000,nan,nan,nan,"15132,39"
21-02-2000,nan,nan,"6,492999999999999","15133,44"
22-02-2000,nan,"29,62","6,361000000000001","15134,48"
23-02-2000,nan,"30,29","6,422999999999999","15135,52"
24-02-2000,nan,"30,32","6,365","15136,56"
25-02-2000,nan,"30,23","6,327000000000001","15137,61"
26-02-2000,nan,nan,nan,"15138,65"
27-02-2000,nan,nan,nan,"15139,69"
28-02-2000,nan,"30,13","6,422000000000001","15140,74"
29-02-2000,nan,"30,43","6,409","15141,78"
01-03-2000,nan,"31,77","6,386","15142,82"
02-03-2000,nan,"31,69","6,3839999999999995","15143,87"
03-03-2000,nan,"31,51","6,388","15144,91"
04-03-2000,nan,nan,nan,"15145,95"
05-03-2000,nan,nan,nan,"15147,0"
06-03-2000,nan,"32,18","6,4110000000000005","15148,04"
07-03-2000,nan,"34,13","6,372999999999999","15149,08"
08-03-2000,nan,"31,26","6,379","15150,13"
09-03-2000,nan,"31,69","6,343","15151,17"
10-03-2000,nan,"31,76","6,382999999999999","15154,09"
11-03-2000,nan,nan,nan,"15157,02"
12-03-2000,nan,nan,nan,"15159,94"
13-03-2000,nan,"32,02","6,37","15162,87"
14-03-2000,nan,"31,69","6,292000000000001","15165,8"
15-03-2000,nan,"30,72","6,291","15168,72"
16-03-2000,nan,"31,09","6,245","15171,65"
17-03-2000,nan,"30,91","6,194","15174,58"
18-03-2000,nan,nan,nan,"15177,51"
19-03-2000,nan,nan,nan,"15180,44"
20-03-2000,nan,"29,44","6,183","15183,37"
21-03-2000,nan,"28,0","6,135","15186,3"
22-03-2000,nan,"27,49","6,112","15189,23"
23-03-2000,nan,"27,21","6,077999999999999","15192,16"
24-03-2000,nan,"27,97","6,191","15195,09"
25-03-2000,nan,nan,nan,"15198,02"
26-03-2000,nan,nan,nan,"15200,95"
27-03-2000,nan,"27,79","6,185","15203,89"
28-03-2000,nan,"27,09","6,151","15206,82"
29-03-2000,nan,"26,45","6,147","15209,76"
30-03-2000,nan,"26,7","6,055","15212,69"
31-03-2000,nan,"26,9","6,004","15215,63"
01-04-2000,nan,nan,nan,"15218,57"
02-04-2000,nan,nan,nan,"15221,5"
03-04-2000,nan,"26,43","5,965","15224,44"
04-04-2000,nan,"25,47","5,895","15227,38"
05-04-2000,nan,"25,85","5,872000000000001","15230,32"
06-04-2000,nan,"25,74","5,934","15233,26"
07-04-2000,nan,"25,09","5,853","15236,2"
08-04-2000,nan,nan,nan,"15239,14"
09-04-2000,nan,nan,nan,"15242,08"
10-04-2000,nan,"23,9","5,771","15245,62"
11-04-2000,nan,"24,18","5,882000000000001","15249,17"
12-04-2000,nan,"25,48","5,935","15252,72"
13-04-2000,nan,"25,44","5,906000000000001","15256,26"
14-04-2000,nan,"25,62","5,85","15259,81"
15-04-2000,nan,nan,nan,"15263,36"
16-04-2000,nan,nan,nan,"15266,91"
17-04-2000,nan,"25,94","6,037999999999999","15270,46"
18-04-2000,nan,"26,14","6,059","15274,01"
19-04-2000,nan,"27,36","5,992000000000001","15277,56"
20-04-2000,nan,"27,28","5,994","15281,11"
21-04-2000,nan,nan,"5,9879999999999995","15284,67"
22-04-2000,nan,nan,nan,"15288,22"
23-04-2000,nan,nan,nan,"15291,78"
24-04-2000,nan,"27,44","6,017","15295,33"
25-04-2000,nan,"26,73","6,127999999999999","15298,89"
26-04-2000,nan,"24,66","6,13","15302,45"
27-04-2000,nan,"25,42","6,223","15306,01"
28-04-2000,nan,"25,74","6,212000000000001","15309,57"
29-04-2000,nan,nan,nan,"15313,13"
30-04-2000,nan,nan,nan,"15316,69"
01-05-2000,nan,"25,89","6,278","15320,25"
02-05-2000,nan,"26,91","6,2989999999999995","15323,81"
03-05-2000,nan,"26,76","6,401","15327,38"
04-05-2000,nan,"26,98","6,4270000000000005","15330,94"
05-05-2000,nan,"27,29","6,505","15334,51"
06-05-2000,nan,nan,nan,"15338,07"
07-05-2000,nan,nan,nan,"15341,64"
08-05-2000,nan,"28,09","6,56","15345,21"
09-05-2000,nan,"28,67","6,529","15348,77"
10-05-2000,nan,"28,12","6,42","15351,24"
11-05-2000,nan,"29,13","6,409","15353,71"
12-05-2000,nan,"29,64","6,5120000000000005","15356,18"
13-05-2000,nan,nan,nan,"15358,65"
14-05-2000,nan,nan,nan,"15361,12"
15-05-2000,nan,"29,94","6,446000000000001","15363,59"
16-05-2000,nan,"29,74","6,4239999999999995","15366,07"
17-05-2000,nan,"29,33","6,496","15368,54"
18-05-2000,nan,"30,33","6,54","15371,01"
19-05-2000,nan,"29,6","6,494","15373,48"
20-05-2000,nan,nan,nan,"15375,96"
21-05-2000,nan,nan,nan,"15378,43"
22-05-2000,nan,"28,61","6,439","15380,91"
23-05-2000,nan,"28,62","6,435","15383,38"
24-05-2000,nan,"29,78","6,47","15385,86"
25-05-2000,nan,"30,31","6,394","15388,33"
26-05-2000,nan,"30,0","6,331","15390,81"
27-05-2000,nan,nan,nan,"15393,28"
28-05-2000,nan,nan,nan,"15395,76"
29-05-2000,nan,nan,"6,331","15398,24"
30-05-2000,nan,"30,35","6,376","15400,72"
31-05-2000,nan,"29,01","6,272","15403,19"
01-06-2000,nan,"30,14","6,191","15405,67"
02-06-2000,nan,"30,36","6,152","15408,15"
03-06-2000,nan,nan,nan,"15410,63"
04-06-2000,nan,nan,nan,"15413,11"
05-06-2000,nan,"29,7","6,122000000000001","15415,59"
06-06-2000,nan,"29,75","6,122000000000001","15418,07"
07-06-2000,nan,"29,95","6,141","15420,55"
08-06-2000,nan,"29,78","6,124","15423,03"
09-06-2000,nan,"30,2","6,126","15425,51"
10-06-2000,nan,nan,nan,"15426,54"
11-06-2000,nan,nan,nan,"15427,56"
12-06-2000,nan,"31,74","6,071000000000001","15428,59"
13-06-2000,nan,"32,56","6,1160000000000005","15429,62"
14-06-2000,nan,"32,85","6,041","15430,65"
15-06-2000,nan,"32,95","6,05","15431,68"
16-06-2000,nan,"32,33","5,971","15432,7"
17-06-2000,nan,nan,nan,"15433,73"
18-06-2000,nan,nan,nan,"15434,76"
19-06-2000,nan,"31,69","5,999","15435,79"
20-06-2000,nan,"33,05","6,02","15436,81"
21-06-2000,nan,"33,81","6,1129999999999995","15437,84"
22-06-2000,nan,"34,62","6,104","15438,87"
23-06-2000,nan,"34,65","6,185","15439,9"
24-06-2000,nan,nan,nan,"15440,93"
25-06-2000,nan,nan,nan,"15441,96"
26-06-2000,nan,"31,63","6,102","15442,98"
27-06-2000,nan,"32,06","6,085","15444,01"
28-06-2000,nan,"31,9","6,1","15445,04"
29-06-2000,nan,"32,72","6,027","15446,07"
30-06-2000,nan,"32,5","6,031000000000001","15447,1"
01-07-2000,nan,nan,nan,"15448,13"
02-07-2000,nan,nan,nan,"15449,16"
03-07-2000,nan,nan,"5,989","15450,19"
04-07-2000,nan,nan,nan,"15451,21"
05-07-2000,nan,"30,67","5,985","15452,24"
06-07-2000,nan,"29,99","6,047999999999999","15453,27"
07-07-2000,nan,"30,28","6,001","15454,3"
08-07-2000,nan,nan,nan,"15455,33"
09-07-2000,nan,nan,nan,"15456,36"
10-07-2000,nan,"29,69","6,035","15457,36"
11-07-2000,nan,"29,7","6,047999999999999","15458,35"
12-07-2000,nan,"30,32","6,08","15459,35"
13-07-2000,nan,"31,47","6,005","15460,35"
14-07-2000,nan,"31,4","6,096","15461,34"
15-07-2000,nan,nan,nan,"15462,34"
16-07-2000,nan,nan,nan,"15463,33"
17-07-2000,nan,"30,83","6,148","15464,33"
18-07-2000,nan,"31,94","6,141","15465,33"
19-07-2000,nan,"31,42","6,154","15466,33"
20-07-2000,nan,"30,93","6,002000000000001","15467,32"
21-07-2000,nan,"28,56","5,997999999999999","15468,32"
22-07-2000,nan,nan,nan,"15469,32"
23-07-2000,nan,nan,nan,"15470,31"
24-07-2000,nan,"27,87","6,034","15471,31"
25-07-2000,nan,"27,85","6,028","15472,31"
26-07-2000,nan,"27,81","6,027","15473,3"
27-07-2000,nan,"28,02","6,0","15474,3"
28-07-2000,nan,"28,18","6,034","15475,3"
29-07-2000,nan,nan,nan,"15476,3"
30-07-2000,nan,nan,nan,"15477,29"
31-07-2000,nan,"27,43","6,031000000000001","15478,29"
01-08-2000,nan,"27,79","5,984","15479,29"
02-08-2000,nan,"28,27","5,976","15480,29"
03-08-2000,nan,"28,66","5,952000000000001","15481,28"
04-08-2000,nan,"29,96","5,901","15482,28"
05-08-2000,nan,nan,nan,"15483,28"
06-08-2000,nan,nan,nan,"15484,28"
07-08-2000,nan,"28,91","5,956","15485,28"
08-08-2000,nan,"29,12","5,917999999999999","15486,27"
09-08-2000,nan,"30,35","5,916","15487,27"
10-08-2000,nan,"31,34","5,763","15487,77"
11-08-2000,nan,"31,02","5,79","15488,27"
12-08-2000,nan,nan,nan,"15488,77"
13-08-2000,nan,nan,nan,"15489,27"
14-08-2000,nan,"31,94","5,771","15489,77"
15-08-2000,nan,"31,67","5,8020000000000005","15490,27"
16-08-2000,nan,"31,8","5,837999999999999","15490,77"
17-08-2000,nan,"31,94","5,81","15491,27"
18-08-2000,nan,"31,99","5,773","15491,76"
19-08-2000,nan,nan,nan,"15492,26"
20-08-2000,nan,nan,nan,"15492,76"
21-08-2000,nan,"32,47","5,781000000000001","15493,26"
22-08-2000,nan,"31,75","5,775","15493,76"
23-08-2000,nan,"32,4","5,727","15494,26"
24-08-2000,nan,"32,63","5,718999999999999","15494,76"
25-08-2000,nan,"34,03","5,729","15495,26"
26-08-2000,nan,nan,nan,"15495,76"
27-08-2000,nan,nan,nan,"15496,26"
28-08-2000,nan,"32,87","5,777","15496,76"
29-08-2000,nan,"32,74","5,808","15497,26"
30-08-2000,nan,"33,32","5,8","15497,76"
31-08-2000,nan,"33,12","5,725","15498,26"
01-09-2000,nan,"33,38","5,678999999999999","15498,76"
02-09-2000,nan,nan,nan,"15499,26"
03-09-2000,nan,nan,nan,"15499,76"
04-09-2000,nan,nan,"5,683","15500,26"
05-09-2000,nan,"33,83","5,689","15500,76"
06-09-2000,nan,"34,9","5,724","15501,26"
07-09-2000,nan,"35,39","5,752000000000001","15501,76"
08-09-2000,nan,"33,63","5,739","15502,26"
09-09-2000,nan,nan,nan,"15502,76"
10-09-2000,nan,nan,nan,"15504,31"
11-09-2000,nan,"35,14","5,766","15505,86"
12-09-2000,nan,"34,28","5,772","15507,4"
13-09-2000,nan,"33,82","5,724","15508,95"
14-09-2000,nan,"34,07","5,785","15510,5"
15-09-2000,nan,"35,93","5,84","15512,05"
16-09-2000,nan,nan,nan,"15513,6"
17-09-2000,nan,nan,nan,"15515,15"
18-09-2000,nan,"36,89","5,871","15516,7"
19-09-2000,nan,"36,52","5,852","15518,25"
20-09-2000,nan,"37,21","5,897","15519,8"
21-09-2000,nan,"34,37","5,8229999999999995","15521,35"
22-09-2000,nan,"32,6","5,848","15522,9"
23-09-2000,nan,nan,nan,"15524,45"
24-09-2000,nan,nan,nan,"15526,0"
25-09-2000,nan,"31,62","5,837000000000001","15527,55"
26-09-2000,nan,"31,5","5,8020000000000005","15529,1"
27-09-2000,nan,"31,46","5,821000000000001","15530,65"
28-09-2000,nan,"30,34","5,812","15532,2"
29-09-2000,nan,"30,84","5,8020000000000005","15533,75"
30-09-2000,nan,nan,nan,"15535,3"
01-10-2000,nan,nan,nan,"15536,85"
02-10-2000,nan,"32,18","5,8229999999999995","15538,4"
03-10-2000,nan,"32,07","5,867000000000001","15539,96"
04-10-2000,nan,"31,43","5,886","15541,51"
05-10-2000,nan,"30,53","5,852","15543,06"
06-10-2000,nan,"30,86","5,812","15544,61"
07-10-2000,nan,nan,nan,"15546,16"
08-10-2000,nan,nan,nan,"15547,72"
09-10-2000,nan,"31,86","5,8229999999999995","15549,27"
10-10-2000,nan,"33,18","5,772","15552,27"
11-10-2000,nan,"33,25","5,774","15555,27"
12-10-2000,nan,"36,06","5,709","15558,27"
13-10-2000,nan,"34,99","5,724","15561,28"
14-10-2000,nan,nan,nan,"15564,28"
15-10-2000,nan,nan,nan,"15567,28"
16-10-2000,nan,"32,92","5,732","15570,29"
17-10-2000,nan,"32,99","5,672999999999999","15573,29"
18-10-2000,nan,"33,48","5,667000000000001","15576,3"
19-10-2000,nan,"32,91","5,655","15579,3"
20-10-2000,nan,"33,75","5,632000000000001","15582,31"
21-10-2000,nan,nan,nan,"15585,32"
22-10-2000,nan,nan,nan,"15588,33"
23-10-2000,nan,"34,91","5,584","15591,33"
24-10-2000,nan,"34,12","5,615","15594,34"
25-10-2000,nan,"33,56","5,684","15597,35"
26-10-2000,nan,"33,71","5,69","15600,36"
27-10-2000,nan,"32,74","5,712999999999999","15603,37"
28-10-2000,nan,nan,nan,"15606,38"
29-10-2000,nan,nan,nan,"15609,4"
30-10-2000,nan,"32,81","5,732","15612,41"
31-10-2000,nan,"32,7","5,751","15615,42"
01-11-2000,nan,"33,25","5,742000000000001","15618,44"
02-11-2000,nan,"32,54","5,7379999999999995","15621,45"
03-11-2000,nan,"32,71","5,827000000000001","15624,46"
04-11-2000,nan,nan,nan,"15627,48"
05-11-2000,nan,nan,nan,"15630,5"
06-11-2000,nan,"32,86","5,855","15633,51"
07-11-2000,nan,"33,4","5,8660000000000005","15636,53"
08-11-2000,nan,"33,24","5,855","15639,55"
09-11-2000,nan,"33,92","5,825","15642,57"
10-11-2000,nan,"34,02","5,7829999999999995","15645,69"
11-11-2000,nan,nan,nan,"15648,81"
12-11-2000,nan,nan,nan,"15651,93"
13-11-2000,nan,"34,47","5,766","15655,05"
14-11-2000,nan,"34,87","5,752999999999999","15658,17"
15-11-2000,nan,"35,58","5,731","15661,3"
16-11-2000,nan,"35,12","5,669","15664,42"
17-11-2000,nan,"35,45","5,704","15667,54"
18-11-2000,nan,nan,nan,"15670,67"
19-11-2000,nan,nan,nan,"15673,79"
20-11-2000,nan,"36,12","5,6770000000000005","15676,92"
21-11-2000,nan,"35,76","5,652","15680,04"
22-11-2000,nan,"36,0","5,624","15683,17"
23-11-2000,nan,nan,"5,612","15686,3"
24-11-2000,nan,nan,"5,624","15689,43"
25-11-2000,nan,nan,nan,"15692,56"
26-11-2000,nan,nan,nan,"15695,69"
27-11-2000,nan,"35,38","5,624","15698,82"
28-11-2000,nan,"34,22","5,582000000000001","15701,95"
29-11-2000,nan,"34,63","5,524","15705,08"
30-11-2000,nan,"33,82","5,468","15708,21"
01-12-2000,nan,"32,02","5,502999999999999","15711,34"
02-12-2000,nan,nan,nan,"15714,48"
03-12-2000,nan,nan,nan,"15717,61"
04-12-2000,nan,"31,22","5,551","15720,74"
05-12-2000,nan,"29,53","5,416","15723,88"
06-12-2000,nan,"29,85","5,3260000000000005","15727,01"
07-12-2000,nan,"29,35","5,309","15730,15"
08-12-2000,nan,"28,44","5,2989999999999995","15733,29"
09-12-2000,nan,nan,nan,"15736,43"
10-12-2000,nan,nan,nan,"15737,95"
11-12-2000,nan,"29,5","5,362","15739,47"
12-12-2000,nan,"29,68","5,346","15740,99"
13-12-2000,nan,"28,74","5,257999999999999","15742,51"
14-12-2000,nan,"27,99","5,212999999999999","15744,03"
15-12-2000,nan,"28,87","5,18","15745,56"
16-12-2000,nan,nan,nan,"15747,08"
17-12-2000,nan,nan,nan,"15748,6"
18-12-2000,nan,"29,76","5,17","15750,12"
19-12-2000,nan,"29,33","5,188","15751,64"
20-12-2000,nan,"25,97","5,037","15753,17"
21-12-2000,nan,"25,98","5,025","15754,69"
22-12-2000,nan,"26,06","5,006","15756,21"
23-12-2000,nan,nan,nan,"15757,73"
24-12-2000,nan,nan,nan,"15759,26"
25-12-2000,nan,nan,"5,008","15760,78"
26-12-2000,nan,"26,64","5,0360000000000005","15762,3"
27-12-2000,nan,"26,47","5,104","15763,82"
28-12-2000,nan,"25,85","5,118","15765,35"
29-12-2000,nan,"26,8","5,112","15766,87"
30-12-2000,nan,nan,nan,"15768,4"
31-12-2000,nan,nan,nan,"15769,92"
01-01-2001,nan,nan,"5,114","15771,44"
02-01-2001,nan,"27,21","4,916","15772,97"
03-01-2001,nan,"28,0","5,1579999999999995","15774,49"
04-01-2001,nan,"28,14","5,039","15776,02"
05-01-2001,nan,"27,95","4,931","15777,54"
06-01-2001,nan,nan,nan,"15779,06"
07-01-2001,nan,nan,nan,"15780,59"
08-01-2001,nan,"27,32","4,956","15782,11"
09-01-2001,nan,"27,64","5,0","15783,64"
10-01-2001,nan,"29,48","5,104","15784,15"
11-01-2001,nan,"29,41","5,11","15784,66"
12-01-2001,nan,"30,05","5,25","15785,17"
13-01-2001,nan,nan,nan,"15785,68"
14-01-2001,nan,nan,nan,"15786,18"
15-01-2001,nan,nan,"5,242000000000001","15786,69"
16-01-2001,nan,"30,29","5,23","15787,2"
17-01-2001,nan,"29,6","5,175","15787,71"
18-01-2001,nan,"29,78","5,114","15788,22"
19-01-2001,nan,"32,19","5,167999999999999","15788,73"
20-01-2001,nan,nan,nan,"15789,24"
21-01-2001,nan,nan,nan,"15789,75"
22-01-2001,nan,"32,19","5,225","15790,26"
23-01-2001,nan,"31,32","5,281000000000001","15790,77"
24-01-2001,nan,"31,2","5,305","15791,28"
25-01-2001,nan,"31,56","5,245","15791,78"
26-01-2001,nan,"29,77","5,268","15792,29"
27-01-2001,nan,nan,nan,"15792,8"
28-01-2001,nan,nan,nan,"15793,31"
29-01-2001,nan,"29,06","5,303","15793,82"
30-01-2001,nan,"29,06","5,229","15794,33"
31-01-2001,nan,"28,66","5,114","15794,84"
01-02-2001,nan,"29,82","5,086","15795,35"
02-02-2001,nan,"31,19","5,148","15795,86"
03-02-2001,nan,nan,nan,"15796,37"
04-02-2001,nan,nan,nan,"15796,88"
05-02-2001,nan,"30,55","5,167000000000001","15797,39"
06-02-2001,nan,"30,35","5,183","15797,9"
07-02-2001,nan,"31,27","5,187","15798,4"
08-02-2001,nan,"31,59","5,0889999999999995","15798,91"
09-02-2001,nan,"31,03","5,03","15799,42"
10-02-2001,nan,nan,nan,"15801,11"
11-02-2001,nan,nan,nan,"15802,8"
12-02-2001,nan,"30,51","5,046","15804,49"
13-02-2001,nan,"30,36","5,07","15806,18"
14-02-2001,nan,"29,71","5,164","15807,87"
15-02-2001,nan,"28,8","5,166","15809,56"
16-02-2001,nan,"29,16","5,109","15811,26"
17-02-2001,nan,nan,nan,"15812,95"
18-02-2001,nan,nan,nan,"15814,64"
19-02-2001,nan,nan,"5,0969999999999995","15816,33"
20-02-2001,nan,"28,58","5,105","15818,02"
21-02-2001,nan,"28,25","5,138999999999999","15819,72"
22-02-2001,nan,"28,57","5,156000000000001","15821,41"
23-02-2001,nan,"28,82","5,0969999999999995","15823,1"
24-02-2001,nan,nan,nan,"15824,79"
25-02-2001,nan,nan,nan,"15826,49"
26-02-2001,nan,"28,69","5,034","15828,18"
27-02-2001,nan,"28,14","4,952","15829,87"
28-02-2001,nan,"27,4","4,896","15831,57"
01-03-2001,nan,"27,63","4,874","15833,26"
02-03-2001,nan,"27,85","4,947","15834,96"
03-03-2001,nan,nan,nan,"15836,65"
04-03-2001,nan,nan,nan,"15838,34"
05-03-2001,nan,"28,61","4,976","15840,04"
06-03-2001,nan,"28,33","4,971","15841,73"
07-03-2001,nan,"29,01","4,899","15843,43"
08-03-2001,nan,"28,41","4,888999999999999","15845,12"
09-03-2001,nan,"28,05","4,928999999999999","15846,82"
10-03-2001,nan,nan,nan,"15845,28"
11-03-2001,nan,nan,nan,"15843,75"
12-03-2001,nan,"28,04","4,891","15842,21"
13-03-2001,nan,"27,65","4,928999999999999","15840,68"
14-03-2001,nan,"26,42","4,8180000000000005","15839,14"
15-03-2001,nan,"26,58","4,7860000000000005","15837,61"
16-03-2001,nan,"26,76","4,77","15836,07"
17-03-2001,nan,nan,nan,"15834,54"
18-03-2001,nan,nan,nan,"15833,0"
19-03-2001,nan,"26,17","4,813","15831,47"
20-03-2001,nan,"25,96","4,758","15829,93"
21-03-2001,nan,"26,43","4,7780000000000005","15828,4"
22-03-2001,nan,"26,19","4,756","15826,87"
23-03-2001,nan,"26,97","4,815","15825,33"
24-03-2001,nan,nan,nan,"15823,8"
25-03-2001,nan,nan,nan,"15822,27"
26-03-2001,nan,"27,48","4,869","15820,73"
27-03-2001,nan,"27,75","5,011","15819,2"
28-03-2001,nan,"26,33","4,975","15817,67"
29-03-2001,nan,"26,33","4,997","15816,13"
30-03-2001,nan,"26,3","4,917","15814,6"
31-03-2001,nan,nan,nan,"15813,07"
01-04-2001,nan,nan,nan,"15811,53"
02-04-2001,nan,"25,6","4,977","15810,0"
03-04-2001,nan,"26,2","4,928999999999999","15808,47"
04-04-2001,nan,"27,13","4,914","15806,94"
05-04-2001,nan,"27,27","4,973","15805,41"
06-04-2001,nan,"27,07","4,89","15803,87"
07-04-2001,nan,nan,nan,"15802,34"
08-04-2001,nan,nan,nan,"15800,81"
09-04-2001,nan,"27,28","4,9319999999999995","15799,28"
10-04-2001,nan,"28,49","5,083","15801,91"
11-04-2001,nan,"28,18","5,119","15804,53"
12-04-2001,nan,"28,25","5,169","15807,16"
13-04-2001,nan,nan,"5,162999999999999","15809,79"
14-04-2001,nan,nan,nan,"15812,42"
15-04-2001,nan,nan,nan,"15815,05"
16-04-2001,nan,"28,79","5,254","15817,68"
17-04-2001,nan,"28,25","5,225","15820,31"
18-04-2001,nan,"27,95","5,146","15822,94"
19-04-2001,nan,"27,82","5,294","15825,57"
20-04-2001,nan,"27,28","5,287999999999999","15828,2"
21-04-2001,nan,nan,nan,"15830,83"
22-04-2001,nan,nan,nan,"15833,46"
23-04-2001,nan,"26,83","5,1770000000000005","15836,1"
24-04-2001,nan,"25,06","5,209","15838,73"
25-04-2001,nan,"25,79","5,256","15841,36"
26-04-2001,nan,"28,44","5,192","15844,0"
27-04-2001,nan,"28,27","5,327999999999999","15846,63"
28-04-2001,nan,nan,nan,"15849,27"
29-04-2001,nan,nan,nan,"15851,9"
30-04-2001,nan,"28,46","5,337999999999999","15854,54"
01-05-2001,nan,"28,94","5,292000000000001","15857,17"
02-05-2001,nan,"27,8","5,287999999999999","15859,81"
03-05-2001,nan,"28,45","5,205","15862,45"
04-05-2001,nan,"28,36","5,205","15865,08"
05-05-2001,nan,nan,nan,"15867,72"
06-05-2001,nan,nan,nan,"15870,36"
07-05-2001,nan,"27,77","5,197","15873,0"
08-05-2001,nan,"27,39","5,245","15875,64"
09-05-2001,nan,"28,23","5,1739999999999995","15878,28"
10-05-2001,nan,"28,52","5,295","15880,83"
11-05-2001,nan,"28,55","5,447","15883,39"
12-05-2001,nan,nan,nan,"15885,95"
13-05-2001,nan,nan,nan,"15888,5"
14-05-2001,nan,"28,71","5,441","15891,06"
15-05-2001,nan,"28,98","5,5120000000000005","15893,62"
16-05-2001,nan,"28,86","5,445","15896,17"
17-05-2001,nan,"28,91","5,407","15898,73"
18-05-2001,nan,"29,91","5,405","15901,29"
19-05-2001,nan,nan,nan,"15903,85"
20-05-2001,nan,nan,nan,"15906,41"
21-05-2001,nan,"29,98","5,374","15908,97"
22-05-2001,nan,"29,74","5,41","15911,52"
23-05-2001,nan,"29,03","5,401","15914,09"
24-05-2001,nan,"27,91","5,4910000000000005","15916,65"
25-05-2001,nan,"27,8","5,511","15919,21"
26-05-2001,nan,nan,nan,"15921,77"
27-05-2001,nan,nan,nan,"15924,33"
28-05-2001,nan,nan,"5,494","15926,89"
29-05-2001,nan,"28,66","5,515","15929,45"
30-05-2001,nan,"28,55","5,5089999999999995","15932,02"
31-05-2001,nan,"28,37","5,381","15934,58"
01-06-2001,nan,"27,93","5,364","15937,15"
02-06-2001,nan,nan,nan,"15939,71"
03-06-2001,nan,nan,nan,"15942,27"
04-06-2001,nan,"28,13","5,341","15944,84"
05-06-2001,nan,"28,25","5,269","15947,41"
06-06-2001,nan,"27,73","5,255","15949,97"
07-06-2001,nan,"27,75","5,324","15952,54"
08-06-2001,nan,"28,33","5,356","15955,1"
09-06-2001,nan,nan,nan,"15957,67"
10-06-2001,nan,nan,nan,"15959,79"
11-06-2001,nan,"29,04","5,284","15961,92"
12-06-2001,nan,"29,19","5,252999999999999","15964,04"
13-06-2001,nan,"28,85","5,263","15966,17"
14-06-2001,nan,"29,06","5,221","15968,29"
15-06-2001,nan,"28,51","5,232","15970,42"
16-06-2001,nan,nan,nan,"15972,54"
17-06-2001,nan,nan,nan,"15974,67"
18-06-2001,nan,"27,56","5,251","15976,79"
19-06-2001,nan,"27,49","5,236000000000001","15978,92"
20-06-2001,nan,"26,51","5,205","15981,05"
21-06-2001,nan,"26,38","5,172000000000001","15983,17"
22-06-2001,nan,"26,63","5,115","15985,3"
23-06-2001,nan,nan,nan,"15987,43"
24-06-2001,nan,nan,nan,"15989,55"
25-06-2001,nan,"27,0","5,13","15991,68"
26-06-2001,nan,"26,98","5,224","15993,81"
27-06-2001,nan,"25,62","5,235","15995,94"
28-06-2001,nan,"25,56","5,334","15998,07"
29-06-2001,nan,"26,26","5,412000000000001","16000,2"
30-06-2001,nan,nan,nan,"16002,32"
01-07-2001,nan,nan,nan,"16004,45"
